,Rating,Total User Ratings,Address,City,State,Lat,Long_,Restaurant
59,3.6,273,"4912 County Rd 101, Minnetonka","4912 County Rd 101, Minnetonka",MN,44.9150765,-93.5039111,Dairy Queen Grill & Chill
60,4.0,402,"10950 175th Ct W, Lakeville","10950 175th Ct W, Lakeville",MN,44.6951331,-93.28739449999999,Dairy Queen
61,4.2,465,"11200 Aquila Dr N, Champlin","11200 Aquila Dr N, Champlin",MN,45.1577662,-93.3906743,Dairy Queen Grill & Chill
62,3.8,564,"6655 Cahill Ave, Inver Grove Heights","6655 Cahill Ave, Inver Grove Heights",MN,44.8529311,-93.0453801,Dairy Queen Grill & Chill
63,3.9,672,"2730 16th Ave E, North St Paul","2730 16th Ave E, North St Paul",MN,45.0201217,-92.98515379999999,Dairy Queen
64,3.9,628,"13770 83rd Way N, Maple Grove","13770 83rd Way N, Maple Grove",MN,45.106004,-93.45550329999999,Dairy Queen Grill & Chill
65,4.1,394,"705 Willow St, Farmington","705 Willow St, Farmington",MN,44.6442808,-93.1374791,Dairy Queen
66,3.8,341,"4719 N Lyndale Ave, Minneapolis","4719 N Lyndale Ave, Minneapolis",MN,45.0408502,-93.28719230000002,Dairy Queen(treat)
67,3.9,226,"2752 Lyndale Ave S, Minneapolis","2752 Lyndale Ave S, Minneapolis",MN,44.9522295,-93.2885362,Subway
68,3.8,169,"9731 Lyndale Ave S, Bloomington","9731 Lyndale Ave S, Bloomington",MN,44.8277083,-93.2874514,Subway
69,3.6,134,"1800 E 66th St, Richfield","1800 E 66th St, Richfield",MN,44.883889,-93.2489526,Subway
70,3.9,338,"11524 County Rd 3, Minnetonka","11524 County Rd 3, Minnetonka",MN,44.92117289999999,-93.42667900000001,Subway
71,3.4,66,"8160 Co Rd 42 Suite 600, Space #9, Savage","8160 Co Rd 42 Suite 600, Space #9, Savage",MN,44.74774679999999,-93.3829736,Subway
72,3.6,584,"376 White Bear Ave, St Paul","376 White Bear Ave, St Paul",MN,44.9529319,-93.0247663,Subway
73,3.2,45,"12755 Wayzata Blvd Space #1308, Minnetonka","12755 Wayzata Blvd Space #1308, Minnetonka",MN,44.9673889,-93.43801599999999,Subway
74,3.8,130,"530 Woodbury Dr Suite 200, Woodbury","530 Woodbury Dr Suite 200, Woodbury",MN,44.9408536,-92.9040946,Subway
75,4.1,149,"768 N Plaza Dr, Mendota Heights","768 N Plaza Dr, Mendota Heights",MN,44.8819494,-93.124641,Subway
76,3.4,131,"7725 Flying Cloud Dr, Eden Prairie","7725 Flying Cloud Dr, Eden Prairie",MN,44.8643936,-93.4210123,Subway
77,3.7,223,"599 University Ave W, St Paul","599 University Ave W, St Paul",MN,44.9559805,-93.125334,Subway
78,3.5,98,"7807 Southtown Ctr Bay #203, Bloomington","7807 Southtown Ctr Bay #203, Bloomington",MN,44.8610408,-93.308057,Subway
79,3.6,85,"5125 W 98th St, Bloomington","5125 W 98th St, Bloomington",MN,44.82420680000001,-93.3470765,Subway
80,3.7,182,"1740 Weir Dr #27, Woodbury","1740 Weir Dr #27, Woodbury",MN,44.9262781,-92.9743529,Subway
81,3.0,55,"555 Nicollet Mall Suite 297, Minneapolis","555 Nicollet Mall Suite 297, Minneapolis",MN,44.97827,-93.27061599999999,Subway
82,4.0,119,"2900 1/2 Pentagon Dr, St Anthony","2900 1/2 Pentagon Dr, St Anthony",MN,45.0159184,-93.22008,Subway
83,3.6,144,"3965 Egan Dr, Savage","3965 Egan Dr, Savage",MN,44.74591179999999,-93.32981269999999,Subway
